"Sample Description","FAM Ct - R1","FAM Ct - R2","FAM Ct Mean","FAM Ct Std. Dev","HEX Ct - R1","HEX Ct - R2","HEX Ct Mean","HEX Ct Std. Dev"
"Unkn-01",33.65168625,34.99055588,34.32112107,0.946723788,32.21558732,31.94830972,32.08194852,0.188993804
"Unkn-02",35.4637037,34.51850166,34.99110268,0.668358769,32.25792503,32.37062302,32.31427403,0.079689515
"Unkn-03",35.06442714,35.21104922,35.13773818,0.103677466,33.18144506,32.96278666,33.07211586,0.154614838
"Unkn-04",34.52140276,35.33489605,34.9281494,0.575226621,32.53100235,32.33935615,32.43517925,0.135514328
"Unkn-05",34.44345873,36.37916421,35.41131147,1.368750467,32.40383963,32.84215593,32.62299778,0.309936427
"Unkn-06",35.0705311,35.67733455,35.37393283,0.429074831,32.70413643,32.43087504,32.56750573,0.19322498
"Unkn-07",34.75642431,34.47844852,34.61743641,0.196558566,33.24746428,33.09392562,33.17069495,0.108568227
"Unkn-08",34.79963624,36.52608085,35.66285854,1.22078069,32.97759798,32.87672355,32.92716076,0.07132899
"Unkn-09",NA,34.66470228,0,0,32.06719988,31.97121564,32.01920776,0.067871102
"Unkn-10",36.63418081,34.51263824,35.57340952,1.50015714,32.08574882,32.1891454,32.13744711,0.073112422
"Unkn-11",36.37160499,36.36277746,36.36719123,0.006242001,33.65044091,33.90811182,33.77927637,0.182200849
"Unkn-12",34.97302398,34.88305603,34.92804001,0.063616949,33.47121123,33.48075827,33.47598475,0.006750779
"Unkn-13",34.92604264,35.55973814,35.24289039,0.448090392,33.3008688,34.20442475,33.75264677,0.638910538
"Unkn-14",34.89779229,35.45233788,35.17506508,0.392122952,33.05189191,33.08312672,33.06750932,0.022086345
"Unkn-15",34.50889579,34.72218939,34.61554259,0.150821353,33.69418295,34.13109739,33.91264017,0.308945167
"Unkn-16",35.37732697,36.320203,35.84876498,0.666714038,33.60221916,33.58746851,33.59484384,0.010430287
"Unkn-17",36.41619912,NA,36.41619912,0,33.61478585,34.07513658,33.84496121,0.325517125
"Unkn-18",34.49196868,36.02745674,35.25971271,1.085754019,33.55912376,33.91225672,33.73569024,0.249702713
"Unkn-19",36.33357396,35.65480568,35.99418982,0.479961655,34.17157846,34.15387315,34.1627258,0.01251954
"Unkn-20",36.51150374,34.495336,35.50341987,1.42564588,33.72590842,33.78076823,33.75333832,0.038791744
"Unkn-21",NA,NA,0,0,39.64345961,NA,39.64345961,0
